ID,0,1,2,3,4,5,6,7
device__attribute_ram_type,15,15,15,15,15,15,15,15
device__attribute_reserved_shared_memory_per_block,"1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024"
device__attribute_sass_level,8,8,8,8,8,8,8,8
device__attribute_single_to_double_precision_perf_ratio,2,2,2,2,2,2,2,2
device__attribute_sparse_cuda_array_supported,1,1,1,1,1,1,1,1
device__attribute_stream_priorities_supported,1,1,1,1,1,1,1,1
device__attribute_surface_alignment,512,512,512,512,512,512,512,512
device__attribute_tcc_driver,0,0,0,0,0,0,0,0
device__attribute_tensor_map_access_supported,0,0,0,0,0,0,0,0
device__attribute_texture_alignment,512,512,512,512,512,512,512,512
device__attribute_texture_pitch_alignment,32,32,32,32,32,32,32,32
device__attribute_total_constant_memory,"65,536","65,536","65,536","65,536","65,536","65,536","65,536","65,536"
device__attribute_total_memory,"42,409,000,960","42,409,000,960","42,409,000,960","42,409,000,960","42,409,000,960","42,409,000,960","42,409,000,960","42,409,000,960"
device__attribute_unified_addressing,1,1,1,1,1,1,1,1
device__attribute_unified_function_pointers,0,0,0,0,0,0,0,0
device__attribute_virtual_address_management_supported,1,1,1,1,1,1,1,1
device__attribute_warp_size,32,32,32,32,32,32,32,32
dram__throughput.avg.pct_of_peak_sustained_elapsed [%],35.82,14.70,45.12,14.79,5.73,20.44,10.33,20.15
dram__throughput.max.pct_of_peak_sustained_elapsed [%],37.41,14.78,46.95,14.89,5.99,20.65,10.99,20.43
dram__throughput.min.pct_of_peak_sustained_elapsed [%],34.30,14.66,43.52,14.72,5.52,20.28,10.07,19.94
dram__throughput.sum.pct_of_peak_sustained_elapsed [%],35.82,14.70,45.12,14.79,5.73,20.44,10.33,20.15
launch__block_dim_x [block],32,256,128,256,32,128,128,128
launch__block_dim_y [block],4,1,1,1,4,1,1,1
launch__block_dim_z [block],1,1,1,1,1,1,1,1
launch__block_size,128,256,128,256,128,128,128,128
launch__context_id,1,1,1,1,1,1,1,1
launch__device_id,0,0,0,0,0,0,0,0
launch__func_cache_config,CachePreferNone,CachePreferNone,CachePreferNone,CachePreferNone,CachePreferNone,CachePreferNone,CachePreferNone,CachePreferNone
launch__function_pcs,"140,517,001,906,944","140,516,696,559,872","140,517,002,015,488","140,516,696,559,872","140,517,001,906,944","140,516,696,397,312","140,517,002,015,488","140,516,696,397,312"
launch__grid_dim_x,"3,328",28,"11,648",28,256,28,896,28
launch__grid_dim_y,1,13,1,13,1,2,1,2
launch__grid_dim_z,1,1,1,1,1,1,1,1
launch__grid_size,"3,328",364,"11,648",364,256,56,896,56
launch__kernel_name,0,0,0,0,0,0,0,0
launch__occupancy_limit_blocks [block],32,32,32,32,32,32,32,32
launch__occupancy_limit_registers [block],16,1,16,1,16,2,16,2
launch__occupancy_limit_shared_mem [block],28,1,32,1,28,0,32,0
launch__occupancy_limit_warps [block],16,8,16,8,16,16,16,16
launch__occupancy_per_block_size,"3,642 {65}",73 {65},"3,670 {65}",73 {65},"3,642 {65}",0 {65},"3,670 {65}",0 {65}
launch__occupancy_per_register_count,"5,792 {257}","2,056 {257}","5,792 {257}","2,056 {257}","5,792 {257}",0 {257},"5,792 {257}",0 {257}
launch__occupancy_per_shared_mem_size,"1,036 {328}","2,616 {328}","1,036 {328}","2,616 {328}","1,036 {328}",776 {328},"1,036 {328}",776 {328}
launch__registers_per_thread [register/thread],31,238,32,238,31,246,32,246
launch__registers_per_thread_allocated [register/thread],"4,096","61,440","4,096","61,440","4,096","31,744","4,096","31,744"
launch__shared_mem_config_size [Kbyte],32.77,167.94,32.77,167.94,32.77,102.40,32.77,102.40
launch__shared_mem_per_block [Kbyte/block],1.05,148.48,1.02,148.48,1.05,99.33,1.02,99.33
launch__shared_mem_per_block_allocated [Kbyte/block],1.15,148.48,1.02,148.48,1.15,99.33,1.02,99.33
launch__shared_mem_per_block_driver [Kbyte/block],1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
launch__shared_mem_per_block_dynamic [Kbyte/block],0.02,98.30,0,98.30,0.02,49.15,0,49.15
launch__shared_mem_per_block_static [Kbyte/block],0,49.15,0,49.15,0,49.15,0,49.15
launch__sm_count [SM],108,108,108,108,108,108,108,108
launch__stream_id,7,7,7,7,7,7,7,7
launch__thread_count [thread],"425,984","93,184","1,490,944","93,184","32,768","7,168","114,688","7,168"
launch__uses_cdp,0,0,0,0,0,0,0,0
